
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,CHI,NBA,PF,65,11,11.6,1.5,3.2,.452,0.2,0.7,.326,1.2,2.5,.488,.488,0.8,1.1,.729,0.5,1.4,2.0,0.7,0.3,0.7,1.0,1.9,3.9
2010-11,23,TOT,NBA,SF,38,25,21.6,2.8,6.2,.456,0.2,0.9,.235,2.6,5.3,.493,.473,1.2,1.9,.662,1.0,2.8,3.7,2.3,0.9,1.0,1.7,2.5,7.1
2010-11,23,CHI,NBA,SF,13,0,9.5,1.3,3.2,.415,0.2,0.7,.222,1.2,2.5,.469,.439,0.5,1.0,.462,0.5,1.4,1.8,1.1,0.6,0.7,1.4,1.9,3.2
2010-11,23,TOR,NBA,SF,25,25,28.0,3.6,7.8,.464,0.2,1.0,.240,3.4,6.8,.497,.480,1.6,2.3,.707,1.2,3.5,4.7,3.0,1.0,1.1,1.8,2.8,9.2
2011-12,24,TOR,NBA,SF,62,40,25.2,3.8,8.4,.450,0.3,1.0,.317,3.5,7.4,.467,.468,1.3,1.9,.704,1.2,3.5,4.7,2.0,1.1,1.4,1.6,2.9,9.1
2012-13,25,SAC,NBA,SF,54,11,16.3,2.2,5.2,.413,0.0,0.4,.095,2.1,4.9,.439,.417,0.7,1.2,.597,0.9,1.8,2.7,1.1,0.8,0.9,1.3,1.8,5.1
2013-14,26,MEM,NBA,SF,52,4,18.4,2.8,5.9,.464,0.4,1.7,.253,2.3,4.3,.548,.500,1.5,1.7,.844,1.2,2.0,3.2,2.1,0.8,1.1,1.3,2.0,7.4
2014-15,27,TOR,NBA,PF,70,17,19.6,3.4,5.8,.589,0.2,0.7,.216,3.2,5.0,.643,.603,1.0,1.5,.657,0.9,2.8,3.7,1.4,0.8,1.0,1.1,2.2,7.9
2015-16,28,TOR,NBA,PF,57,32,16.2,2.0,4.2,.475,0.4,1.2,.303,1.6,3.1,.540,.517,0.7,1.2,.574,0.5,1.7,2.2,1.2,0.5,0.6,0.9,1.5,5.0
2016-17,29,MIA,NBA,PF,76,5,27.4,4.8,10.1,.479,1.1,3.4,.340,3.7,6.8,.548,.535,2.0,2.8,.707,0.9,4.1,4.9,3.6,1.0,1.1,2.3,2.6,12.8
2017-18,30,MIA,NBA,PF,73,41,26.6,4.2,8.4,.503,0.8,2.5,.308,3.5,5.9,.587,.550,1.5,2.2,.698,0.8,4.1,4.9,3.8,1.0,0.7,1.9,2.6,10.8
2018-19,31,MIA,NBA,PF,55,33,21.2,3.0,6.9,.433,0.9,2.7,.336,2.1,4.2,.496,.499,0.9,1.3,.714,0.4,2.8,3.2,2.5,0.6,0.5,1.3,2.1,7.8
2019-20,32,TOT,NBA,CPF,32,1,19.3,3.2,6.7,.479,1.0,2.8,.363,2.2,3.9,.565,.556,1.0,1.5,.646,0.8,2.9,3.7,2.3,0.8,1.0,1.5,2.5,8.4
2019-20,32,MIA,NBA,PF,18,0,15.6,2.2,4.8,.448,0.9,2.5,.356,1.3,2.3,.548,.540,0.4,0.8,.571,0.4,2.4,2.9,1.2,0.3,0.7,0.8,1.9,5.7
2019-20,32,MIN,NBA,C,14,1,24.1,4.6,9.1,.500,1.2,3.3,.370,3.4,5.9,.573,.566,1.6,2.4,.676,1.2,3.5,4.7,3.8,1.4,1.4,2.4,3.3,12.0
2020-21,33,DAL,NBA,PF,14,0,19.6,2.6,5.8,.457,0.8,2.7,.289,1.9,3.1,.605,.525,0.8,1.6,.500,0.4,2.9,3.4,1.9,1.2,0.8,1.3,2.2,6.9
Career,,,NBA,,648,220,20.6,3.1,6.6,.477,0.5,1.7,.309,2.6,4.9,.534,.516,1.2,1.7,.689,0.8,2.8,3.6,2.1,0.8,0.9,1.5,2.2,7.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIA,NBA,,222,79,24.7,4.0,8.3,.476,0.9,2.9,.331,3.0,5.5,.552,.533,1.5,2.1,.701,0.7,3.6,4.3,3.2,0.8,0.8,1.8,2.4,10.3
4 seasons,,TOR,NBA,,214,114,21.3,3.2,6.3,.498,0.3,0.9,.277,2.9,5.4,.536,.518,1.1,1.6,.665,0.9,2.8,3.7,1.7,0.8,1.0,1.3,2.3,7.6
2 seasons,,CHI,NBA,,78,11,11.3,1.4,3.2,.446,0.2,0.7,.309,1.2,2.5,.485,.480,0.7,1.1,.687,0.5,1.4,1.9,0.8,0.4,0.7,1.0,1.9,3.8
1 season,,SAC,NBA,,54,11,16.3,2.2,5.2,.413,0.0,0.4,.095,2.1,4.9,.439,.417,0.7,1.2,.597,0.9,1.8,2.7,1.1,0.8,0.9,1.3,1.8,5.1
1 season,,MEM,NBA,,52,4,18.4,2.8,5.9,.464,0.4,1.7,.253,2.3,4.3,.548,.500,1.5,1.7,.844,1.2,2.0,3.2,2.1,0.8,1.1,1.3,2.0,7.4
1 season,,DAL,NBA,,14,0,19.6,2.6,5.8,.457,0.8,2.7,.289,1.9,3.1,.605,.525,0.8,1.6,.500,0.4,2.9,3.4,1.9,1.2,0.8,1.3,2.2,6.9
